age,gender,contract_type,payment_method,tenure_months,monthly_charges,total_charges,avg_call_minutes,num_support_tickets,has_international_plan,region,Churn
53,M,Month-to-month,Bank transfer,58,56.46,3448.16,206.9,0,No,North,0
18,F,Month-to-month,Electronic check,16,64.86,1227.48,345.3,2,Yes,West,1
81,M,Month-to-month,Electronic check,59,97.64,5773.27,242.8,0,No,North,0
65,F,One year,Credit card,16,27.9,416.11,257.2,0,Yes,North,0
40,F,Month-to-month,Electronic check,65,56.33,3805.53,205.1,1,No,North,0
46,F,Month-to-month,Electronic check,29,44.13,1279.0,144.4,1,No,North,0
46,M,One year,Credit card,51,25.6,1374.0,234.0,0,Yes,East,0
68,F,Month-to-month,Bank transfer,0,45.17,219.15,248.3,3,No,West,1
49,M,Month-to-month,Electronic check,73,88.92,6612.73,215.4,2,No,North,0
19,F,Month-to-month,Credit card,16,63.21,851.34,223.8,0,No,West,0
51,F,Month-to-month,Bank transfer,54,70.08,3763.05,252.3,1,No,South,0
81,F,Month-to-month,Bank transfer,25,51.5,1175.12,292.1,0,No,North,0
43,M,One year,Mailed check,11,77.4,700.27,359.2,0,No,East,0
65,F,One year,Electronic check,58,53.61,3195.38,325.2,0,No,Central,0
46,F,Month-to-month,Electronic check,26,107.61,2646.77,344.8,0,Yes,Central,0
45,F,Two year,Electronic check,52,75.72,3812.7,249.2,1,No,East,0
61,M,Month-to-month,Electronic check,49,90.44,4335.41,211.9,1,No,North,0
49,M,One year,Bank transfer,72,64.94,4826.24,293.0,0,No,South,0
50,F,Month-to-month,Credit card,7,95.34,335.3,177.6,1,No,West,0
21,F,Month-to-month,Electronic check,58,84.04,4914.67,201.9,1,No,South,0
42,F,Month-to-month,Bank transfer,40,57.57,2344.77,151.0,0,No,West,0
31,M,Month-to-month,Credit card,71,26.32,2111.05,242.0,0,No,East,0
57,M,Month-to-month,Mailed check,73,69.33,5282.33,326.1,1,No,West,0
35,M,Month-to-month,Bank transfer,16,79.97,1001.53,228.7,0,No,North,0
78,F,One year,Electronic check,41,100.75,4106.27,204.5,0,No,North,0
26,F,One year,Credit card,68,29.43,2152.55,270.4,1,No,South,0
52,F,One year,Electronic check,72,71.61,5212.26,350.1,0,No,South,0
56,M,Two year,Electronic check,14,74.04,936.2,215.1,0,No,Central,0
61,F,Month-to-month,Electronic check,62,103.43,6357.98,203.1,4,Yes,East,1
51,M,One year,Electronic check,65,83.65,5488.51,423.3,0,No,West,0
57,F,Two year,Bank transfer,22,107.46,2112.14,263.2,1,No,South,0
68,M,Month-to-month,Electronic check,37,46.74,1555.98,347.5,1,Yes,West,1
71,M,Month-to-month,Electronic check,32,73.38,2256.04,293.6,0,No,South,0
58,F,One year,Bank transfer,38,88.24,3263.76,302.2,0,No,North,0
82,M,One year,Electronic check,48,81.56,3886.29,74.4,3,No,North,0
68,M,One year,Electronic check,52,84.36,4371.7,178.0,0,No,East,0
62,M,Two year,Electronic check,62,45.63,2963.34,159.1,1,No,West,0
31,M,One year,Electronic check,58,54.89,3254.31,246.6,1,No,West,0
72,F,Month-to-month,Credit card,1,57.88,256.3,262.2,1,No,East,1
27,F,One year,Mailed check,63,97.67,6188.4,253.5,0,Yes,West,0
73,F,Two year,Electronic check,22,65.5,1540.08,253.0,2,No,East,1
34,M,Month-to-month,Mailed check,18,70.34,1090.18,374.4,2,No,West,0
