Id;Age;Income;Home;Emp_length;Intent;Amount;Rate;Status;Percent_income;Default;Cred_length
0;22.0;59000;RENT;123;PERSONAL;35000;16.фев;1;0.59;Y;3
1;21;9600;OWN;5;EDUCATION;1000;ноя.14;0;0.1;N;2
2;25;9600;MORTGAGE;1;MEDICAL;5500;дек.87;1;0.57;N;3
3;23;65500;RENT;4;MEDICAL;35000;15.23;1;0.53;N;2
4;24;54400;RENT;8;MEDICAL;35000;14.27;1;0.55;Y;4
5;21;9900;OWN;2;VENTURE;2500;июл.14;1;0.25;N;2
6;26;77100;RENET;8;EDUCATION;35000;дек.42;1;0.45;N;3
7;24;78956;RENT;5;MEDICAL;35000;11.ноя;1;0.44;N;4
8;24;83000;RENT;8;PERSONAL;35000;08.сен;1;0.42;N;2
9;21.;10000;OWN;6;VENTURE;1600;14.74;1;0.16;N;3
10;22;85000;RENT;6;VENTURE;35000;окт.37;1;0.41;N;4
11;21;10000;OWN;2;HOMEIMPROVEMENT;4500;авг.63;1;0.45;N;2
12;23;95000;RENT;2;VENTURE;35000;07.сен;1;0.37;N;2
13;26;108160;RENT;4;EDUCATION;35000;18.39;1;0.32;N;4
14;23;115000;RENT;2;EDUCATION;35000;07.сен;0;0.3;N;4
15;23;500000;MORTGAGE;7;DEBTCONSOLIDATION;30000;окт.65;0;0.06;N;3
16;23;120000;RENT;0;EDUCATION;35000;07.сен;0;0.29;N;4
17;23;92111;RENT;7;MEDICAL;35000;20.25;1;0.32;N;4
18;23;113000;RENT;8;DEBTCONSOLIDATION;35000;18.25;1;0.31;N;4
19;24;10800;MORTGAGE;8;EDUCATION;1750;окт.99;1;0.16;N;2
20;25;162500;RENT;2;VENTURE;35000;июл.49;0;0.22;N;4
21;25;137000;RENT;9;PERSONAL;34800;16.77;0;0.25;Y;2
22;22;65000;RENT;4;EDUCATION;34000;17.58;1;0.52;No;4
23;24;10980;OWN;0;PERSONAL;1500;июл.29;0;0.14;N;3
24;22;80000;RENT;3;PERSONAL;33950;14.54;1;0.42;Y;4
25;24;67746;RENT;8;HOMEIMPROVEMENT;33000;дек.68;1;0.49;N;3
26;21;11000;MORTGAGE;3;VENTURE;4575;17.74;1;0.42;Y;3
27;23;11000;OWN;0;PERSONAL;1400;сен.32;0;0.13;N;3
28;24;65000;RENT;6;HOMEIMPROVEMENT;32500;сен.99;1;0.5;No;3
29;21;11389;OTHER;5;EDUCATION;4000;дек.84;1;0.35;Y;2
30;21;11520;OWN;5;MEDICAL;2000;11.дек;1;0.17;N;3
31;25;120000;RENT;2;VENTURE;32000;июн.62;0;0.27;N;2
32;26;95000;RENT;7;HOMEIMPROVEMENT;31050;14.17;1;0.33;Y;3
33;25;306000;RENT;2;DEBTCONSOLIDATION;24250;13.85;0;0.08;No;3
34;26;300000;MORTGAGE;10;MEDICAL;7800;13.49;0;0.03;N;4
35;21;12000;OWN;5;EDUCATION;2500;июл.51;1;0.21;N;4
36;22;48000;RENT;1;EDUCATION;30000;18.39;1;0.63;N;2
37;24;64000;RENT;8;DEBTCONSOLIDATION;30000;14.54;1;0.47;Y;3
38;25;75000;RENT;4;HOMEIMPROVEMENT;30000;16.89;1;0.4;Y;4
39;23;71500;RENT;3;DEBTCONSOLIDATION;30000;;1;0.42;N;4
40;26;62050;RENT;6;MEDICAL;30000;17.99;1;0.41;N;2
41;24;12000;OWN;4;VENTURE;2500;дек.69;1;0.21;N;3
42;26;300000;MORTGAGE;10;VENTURE;20000;июл.88;0;0.07;N;4
43;23;300000;OWN;1;EDUCATION;24250;19.41;0;0.08;Y;2
44;26;300000;OWN;9;HOMEIMPROVEMENT;10000;окт.38;0;0.03;N;4
45;26;300000;MORTGAGE;0;EDUCATION;25000;15.33;0;0.08;N;3
46;25;300000;MORTGAGE;9;HOMEIMPROVEMENT;18000;16.45;0;0.06;N;3
47;26;80690;RENT;8;PERSONAL;30000;июл.49;1;0.37;N;3
48;22;66300;RENT;4;MEDICAL;30000;дек.69;1;0.38;N;3
49;26;89028;RENT;0;DEBTCONSOLIDATION;30000;июн.62;1;0.34;N;3
50;24;78000;RENT;4;DEBTCONSOLIDATION;30000;;1;0.38;Y;4
51;23;78000;RENT;7;DEBTCONSOLIDATION;30000;18.62;1;0.38;Y;3
52;23;92004;RENT;6;PERSONAL;30000;15.23;1;0.33;Y;3
53;23;97000;RENT;7;VENTURE;30000;окт.65;1;0.31;N;2
54;25;120000;RENT;9;EDUCATION;30000;07.сен;0;0.25;N;4
55;26;280000;RENT;4;PERSONAL;10000;15.96;0;0.04;Y;3
56;26;277104;RENT;0;VENTURE;20000;ноя.48;0;0.07;N;3
57;23;277000;OWN;3;PERSONAL;35000;;0;0.13;N;4
